id,vss,rss
0,1053348,219672
1,1053348,219672
2,1053348,219672
3,1053348,219672
4,1053348,219672
5,1053348,219672
6,1053348,219672
7,1053348,219672
8,1053348,219672
9,1059764,220456
10,1059764,219908
11,1059764,219908
12,1059764,219908
13,1059764,219908
14,1059764,219908
15,1059764,219908
16,1059764,219908
17,1059764,219908
18,1059772,220160
19,1156160,254480
20,1160368,260100
21,1163820,265996
22,1141224,244276
23,1138920,242176
24,1138920,241816
25,1138920,241816
26,1138920,241820
27,1138920,241820
28,1138920,241820
29,1138920,241820
30,1138920,242096
31,1138920,242096
32,1138920,242096
33,1138920,242084
34,1138920,242084
35,1138920,242084
36,1138920,242084
37,1138920,242052
38,1153320,254740
39,1150440,252324
40,1141224,244752
41,1143528,245688
42,1170024,271132
43,1138920,242416
44,1138920,242416
45,1138920,242416
46,1138920,242416
47,1138920,242512
48,1138920,242500
49,1127400,241812
50,1127400,242500
51,1127400,242500
52,1127400,242500
53,1127400,242500
54,1127400,242508
55,1127400,242508
56,1127400,242508
57,1154736,257868
58,1166800,272088
59,1171224,261008
60,1162008,252048
61,1176636,264856
62,1176636,264672
63,1166844,254732
64,1165500,254452
65,1123032,262160
66,1091928,234892
67,1100876,248536
68,1104504,251380
69,1108984,260756
70,1097928,252728
71,1091096,252380
72,1091096,252380
73,1091096,252380
74,1091096,252380
75,1091096,250952
76,1091096,250952
77,1091096,250980
78,1091096,250980
79,1091096,250980
80,1101464,265592
81,1154804,270592
82,1168816,265292
83,1165936,263060
84,1175344,272452
85,1165360,262480
86,1165360,262436
87,1165360,262436
88,1165360,262436
89,1175344,272496
90,1165360,258952
91,1165360,258952
92,1166980,266412
93,1166452,265924
94,1173364,269276
95,1166452,265924
96,1166452,265924
97,1166452,265924
98,1150068,250568
99,1150068,250804
100,1150068,250792
101,1150068,251064
102,1150068,251064
103,1150068,251556
104,1150068,251620
105,1150068,251784
106,1150068,251784
107,1150068,252044
108,1150068,252192
109,1150068,252312
110,1150068,252572
111,1150068,252608
112,1150068,252608
113,1150068,252904
114,1150076,253144
115,1150076,253404
116,1150076,253692
117,1150076,253768
118,1150076,253820
119,1150076,254080
120,1150076,254080
121,1149012,254144
122,1149012,254188
123,1164956,266720
124,1170516,275624
125,1172140,278588
126,1115100,273856
127,1121664,278260
128,1093248,250460
129,1112832,266252
130,1122048,279284
131,1098996,256924
132,1114940,267900
133,1179424,290080
134,1181408,291992
135,1164144,272864
136,1164144,273340
137,1164144,273340
138,1164144,272412
139,1197036,312972
140,1177708,291392
141,1220364,324680
142,1228808,332664
143,1184640,286132
144,1184640,286132
145,1185800,287360
146,1184648,286236
147,1201288,300532
148,1187560,292476
149,1198600,300652
150,1179016,282680
151,1179016,282680
152,1179016,282680
153,1179016,282680
154,1179016,282680
155,1179016,282680
156,1179016,282680
157,1179016,282676
158,1179016,282676
159,1179016,282676
160,1179016,282676
161,1182472,284496
162,1193992,296368
163,1180168,283772
164,1193992,295956
165,1180168,283360
166,1177792,282932
167,1166384,280176
168,1166672,278548
169,1166672,278540
170,1165608,278588
171,1165608,278556
172,1165616,279144
173,1153328,257124
174,1152288,257040
175,1152296,257124
176,1152296,257116
177,1152296,257084
178,1152296,257012
179,1152296,257012
180,1152296,256760
181,1152296,256748
182,1152296,256744
183,1152296,256740
184,1152296,256732
185,1152296,256732
186,1152296,256732
187,1152296,256692
188,1152296,256680
189,1152296,256608
190,1152296,256636
191,1152296,256624
192,1152296,256604
193,1152296,256448
194,1152296,256552
195,1152296,256524
196,1152296,256524
197,1152296,256524
198,1152296,256524
199,1152296,256524
200,1152296,256524
201,1152296,256520
202,1152296,256520
203,1152296,256520
204,1152296,256504
205,1152296,256504
206,1152304,256548
207,1152304,256696
208,1152304,256676
209,1157688,256940
210,1108308,255556
211,1113116,264100
212,1110592,261748
213,1172840,266988
214,1178420,276456
215,1173556,272744
216,1181364,284924
217,1186180,292824
218,1187808,288768
219,1186368,287380
220,1121068,275344
221,1118508,270552
222,1110060,268736
223,1110060,268768
224,1110060,268748
225,1110060,268740
226,1110060,268720
227,1110060,268724
228,1110060,268588
229,1110060,268352
230,1110060,268296
231,1110060,268232
232,1110060,268136
233,1110060,268136
234,1104924,260616
235,1105956,259572
236,1105956,259572
237,1105956,259352
238,1105956,259352
239,1105956,259312
240,1105956,259264
241,1105956,259260
242,1115812,265500
243,1112100,259208
244,1105956,259132
245,1105956,259108
246,1105956,259028
247,1105956,258900
248,1105956,258808
